==32856== Memcheck, a memory error detector
==32856== Copyright (C) 2002-2013, and GNU GPL'd, by Julian Seward et al.
==32856== Using Valgrind-3.9.0 and LibVEX; rerun with -h for copyright info
==32856== Command: ./RunCollatz
579302 214302 470
535908 283267 470
733449 111320 470
436138 46338 449
532060 827521 468
353919 346290 379
915350 594523 525
355386 959845 525
871350 100794 525
652506 255148 470
165871 446327 449
236288 463751 449
354391 985663 525
779011 576130 468
182509 423558 449
832369 478584 470
544264 79200 470
373626 425768 449
790811 315067 470
493247 238897 449
149963 46779 375
479928 625075 470
609165 492830 470
330941 862726 525
829885 928284 525
650082 735592 442
507878 553487 470
485080 340320 449
522925 630512 452
361372 764056 470
532408 974512 525
386245 209649 443
539299 276031 470
442736 395450 449
370585 414615 449
876705 971618 476
114579 977416 525
756312 963969 525
122036 406593 443
487991 311907 449
455290 554546 470
836226 582007 468
766817 842847 525
923225 639004 525
805263 725999 468
200453 722809 470
270267 246191 407
78132 404659 443
28115 286722 443
570400 200205 470
379800 948977 525
525210 106940 470
819790 380265 470
319087 400922 441
119334 649276 470
281982 886330 525
389061 964944 525
26689 203776 383
575006 432338 470
68756 310961 443
117036 935057 525
330880 877496 525
541096 106361 470
183166 750951 470
256686 685566 470
329779 572392 470
738318 53142 470
404509 997991 525
646787 101266 470
415283 703252 470
537450 410569 470
492734 369167 449
646806 62713 470
45479 631214 470
204333 887962 525
573027 230893 470
742660 9349 470
728619 264933 470
514657 199549 470
98055 18051 351
535417 984315 525
862321 601434 525
111525 326916 443
699836 784324 468
958464 372198 525
204111 268814 443
45394 874801 525
323452 991820 525
697466 340252 470
693169 298271 470
624551 289339 470
336477 623224 470
677608 532930 452
814853 978581 525
95738 594432 470
662213 511604 470
262644 69570 443
381347 979285 525
724947 994278 525
73303 199806 383
183026 114252 383
278741 101133 443
962835 458662 525
761814 495920 470
676507 835834 468
31214 627226 470
407852 789779 470
208093 136069 383
14972 739795 470
587075 314293 470
531632 541398 377
124708 409345 443
234926 979372 525
832118 693047 468
394218 390748 361
685516 511532 470
625187 53612 470
496930 492872 395
820378 163161 470
92520 720695 470
631140 730669 442
579287 224736 470
17755 886572 525
693309 653344 442
166998 472943 449
552114 51825 470
597320 535503 452
316301 352797 441
378723 886894 525
72003 150638 375
477317 194232 449
398056 346142 436
6801 710476 470
198076 326300 443
34726 822787 470
725421 9914 470
246282 74799 443
185532 424556 449
322522 654763 470
956814 557026 525
313044 997242 525
895969 90733 525
492990 821733 470
637446 382242 470
331971 75026 443
59513 895657 525
343569 990452 525
144142 91313 375
868899 297265 525
171397 219832 386
828486 945432 525
661722 426753 470
948930 769496 525
576727 390611 470
17980 848621 525
823468 406898 470
211871 410073 449
666116 210522 470
886555 784002 525
714346 199170 470
118631 47681 354
425015 768550 470
728891 554451 447
784443 943931 525
599454 732391 447
657309 775557 468
39887 83121 351
746532 76971 470
504875 470833 426
547417 273175 470
133629 96052 354
551803 589078 434
692925 459508 470
872859 86532 525
317306 195248 443
20452 433617 449
726361 320168 470
254793 423092 449
509690 383146 449
373348 904589 525
691267 253666 470
602288 896023 525
84156 388358 443
546990 74162 470
892768 245315 525
772749 191357 470
352117 76106 443
852911 638505 525
181814 831605 470
522032 203934 470
976686 103874 525
733616 914803 525
420973 824337 470
828517 393132 470
65572 478280 449
510172 600004 470
693412 844146 525
850520 785838 525
995958 614728 525
885783 865224 432
288892 628248 470
250230 636999 470
913032 151199 525
670546 894858 525
911594 225121 525
463293 568404 470
192699 829514 470
617793 570412 447
956644 801248 525
21028 986036 525
43415 759477 470
677215 75686 470
326792 622279 470
331398 725989 470
177547 589050 470
31736 114338 354
14089 771997 470
493254 837110 470
298206 806073 470
400458 955131 525
295985 309925 371
98992 496673 449
974316 457142 525
366576 291069 441
44488 387176 443
845480 819287 525
286456 960589 525
731032 477141 470
280327 350539 441
312433 656309 470
878134 761348 525
666475 759776 442
365767 891710 525
666999 777252 468
473298 933458 525
986893 741802 525
289989 420134 449
541489 842619 525
804148 225288 470
847711 945490 476
523158 958772 525
159936 510256 449
848377 457438 525
493699 459683 444
806771 893284 525
783578 175173 470
958964 859030 476
258647 140801 443
706387 799015 468
491187 477812 382
840883 821022 525
799705 597801 468
8128 755791 470
559389 570319 421
928559 842762 476
813112 830031 450
40005 867426 525
772500 458437 470
154116 713795 470
213581 262857 443
916015 875184 476
879507 422338 525
961099 52174 525
711700 229014 470
739508 893378 525
775990 164042 470
597825 834662 468
122745 595056 470
392278 746301 470
793504 761319 468
758064 739680 424
543174 425666 470
76742 732274 470
270428 645316 470
341719 163894 443
21549 439733 449
115729 968291 525
388888 461505 449
316772 827379 470
656768 323808 470
935026 467280 525
270334 433750 449
211103 329192 443
206410 183715 360
228464 747398 470
405306 108249 443
925016 594924 525
966188 782148 525
922408 230270 525
806056 862024 525
450453 979419 525
286340 596937 470
72899 615691 470
208171 669767 470
858617 376980 525
154620 178020 383
891072 274296 525
52461 55128 340
683172 953568 525
571757 651142 447
778617 498654 470
631655 284533 470
421372 429441 418
945426 182000 525
689190 222780 470
860251 968275 476
773359 510273 470
166897 911306 525
827700 668693 468
164953 226980 386
431076 918183 525
631547 429132 470
210273 694007 470
346935 601241 470
90266 910232 525
577455 474539 470
488017 934169 525
616260 979566 525
808225 542052 468
452404 801402 470
533415 713125 452
66563 361879 443
736058 5818 470
808436 502961 470
837388 446526 470
760446 461299 470
229367 153217 386
579043 491460 470
704673 475550 470
264253 94421 443
646169 717492 442
807630 204912 470
233734 213257 443
859419 246181 525
988884 531644 525
934740 678434 525
447235 214726 449
638384 87187 470
95278 360022 443
587655 846111 525
13941 76591 340
382675 510762 449
845892 216719 525
394761 111655 443
163993 568303 470
742732 443723 470
323708 235621 407
894265 643492 525
697691 86221 470
295816 972570 525
310973 650225 470
598388 188811 470
681703 909297 525
106252 598395 470
984869 975179 427
129390 374264 443
298247 222030 443
378745 105663 443
747594 892140 525
950667 826475 525
374560 603739 470
782830 288015 470
320897 701372 470
33114 981769 525
405208 566086 470
60339 819258 470
556120 70338 470
797887 358450 470
513263 707244 452
987649 354000 525
628484 277448 470
19823 170106 383
455128 503913 444
655060 241540 470
94555 790154 470
152558 564994 470
708940 810188 468
915564 478098 525
369635 245241 441
919155 269567 525
386267 388676 330
478744 97543 449
432528 921771 525
760886 631991 442
325396 656978 470
680828 401322 470
35758 839326 525
463955 660458 470
649416 405587 470
799318 221695 470
405157 944065 525
440019 433230 400
693268 735396 411
240722 260775 363
485001 871580 525
982166 161295 525
115496 133968 349
957956 505048 525
526970 263205 470
692149 525101 452
332461 579222 470
415995 550793 470
150592 382008 443
202118 823751 470
13387 267397 443
806332 591855 468
751611 514616 452
298644 130228 443
705084 527345 452
102101 708496 470
376568 45048 443
852701 103910 525
80930 604086 470
472833 457593 444
70534 371796 443
198000 996316 525
5292 581070 470
396278 677466 470
759607 529229 452
941886 24194 525
907821 504508 525
78590 964454 525
152819 666768 470
851208 821731 525
249278 959227 525
573075 261783 470
144402 439303 449
535169 632074 452
175964 559561 470
948131 414776 525
292958 480043 449
632067 98095 470
624015 569629 447
585150 559731 434
886972 585387 525
465412 767659 470
246882 905412 525
719139 216093 470
101425 4131 351
724304 408732 470
261340 974160 525
637569 77122 470
889947 387511 525
323559 581595 470
541171 803009 468
809108 973064 525
156491 708067 470
461861 396571 449
461991 529973 470
639216 447699 470
559999 773427 468
56840 38286 340
851913 588047 525
869507 444067 525
982010 80576 525
402678 195771 443
978175 444338 525
570087 578305 390
217891 226971 368
72599 29658 340
142119 267453 443
811920 854233 525
331726 574087 470
990326 913679 476
143969 190323 383
860249 15001 525
115797 543214 470
968896 269571 525
694546 499898 470
563009 230568 470
940473 474875 525
403988 590738 470
437540 214557 449
891846 259932 525
845311 925365 476
740341 727535 424
690866 190704 470
805553 463161 470
859665 40673 525
746174 608353 447
621814 811141 468
993768 685176 525
402515 96487 443
842870 763537 525
611042 758652 447
670018 322323 470
233600 641983 470
791730 292981 470
880221 267678 525
381206 906204 525
647554 606548 447
795870 145067 470
40171 187821 383
792598 385288 470
362420 575141 470
147646 218182 386
14411 114052 354
392405 480811 449
707349 306270 470
825815 129135 470
48957 392235 443
207297 304860 443
738444 324936 470
12336 814525 470
986583 201892 525
266827 438818 449
108650 191472 383
267710 792356 470
435321 784750 470
959341 451007 525
48746 932450 525
815510 894102 525
406250 204565 443
281043 434392 449
509702 217077 449
749352 259601 470
184582 315655 443
953750 735940 525
661190 950674 525
547248 980509 525
765481 22621 470
384318 180517 443
827329 882918 525
774952 362237 470
755694 919436 525
453885 748483 470
709411 946080 525
838077 157672 525
847394 360327 525
977621 680778 525
379464 330322 441
535519 419065 470
345226 672588 470
931938 196939 525
476275 643923 470
572990 137504 470
786273 544450 468
234050 67127 443
423998 555922 470
408895 280716 441
794952 262555 470
562194 588455 434
174255 807581 470
831542 69364 470
430974 977244 525
925698 174479 525
189569 76623 383
735213 533438 452
659032 226505 470
863757 400884 525
131242 460083 449
713502 256958 470
888963 95073 525
285781 737107 470
724090 517790 452
43926 246260 443
340465 609036 470
529578 892663 525
284481 172454 443
611431 911492 525
439073 295824 449
263040 985617 525
55466 647593 470
781263 999479 525
810267 486496 470
739493 948047 525
328658 25551 443
893305 495333 525
2659 483504 449
386422 169904 443
273786 648592 470
327287 8641 443
319250 269166 389
186366 885145 525
100697 922575 525
108198 422869 449
672661 283373 470
217783 613824 470
782458 763821 468
962388 872828 476
566231 356191 470
7041 307917 443
197220 672719 470
491981 725351 470
26764 268112 443
570369 399547 470
59813 315219 443
68613 464229 449
295244 438008 449
255763 904555 525
712762 241310 470
540714 493344 470
817995 790204 468
191710 307407 443
554376 382429 470
502053 927279 525
391447 217750 443
968104 385008 525
594424 445438 470
411584 782103 470
378149 511130 449
826986 252995 470
789095 704348 468
121226 496452 449
248604 35175 443
67799 794005 470
473919 116149 449
443653 41342 449
335752 979418 525
235905 615713 470
299963 440873 449
654130 50041 470
856204 1801 525
167948 139305 383
419623 651387 470
216442 393664 443
427489 968351 525
570080 768586 468
831700 771888 468
979279 702248 525
445737 399404 449
877314 134173 525
695468 309068 470
802024 705848 468
894929 605884 525
851952 755695 525
617148 69323 470
542045 375031 470
819889 535458 468
623493 979014 525
30334 271972 443
886988 556843 525
600455 898489 525
633181 446295 470
434870 924284 525
319967 732735 470
257675 242123 363
373255 447409 449
141782 61139 354
517952 785005 468
85173 234789 443
113587 894571 525
721854 399836 470
829612 315310 470
795560 916976 525
872857 542453 525
367830 333800 441
879787 716837 525
654430 572101 447
503906 54224 449
320152 740392 470
520521 287296 470
608734 367187 470
935551 33934 525
268145 886775 525
990178 256614 525
462118 62392 449
437750 99050 449
25950 518993 470
280784 914193 525
532735 719056 452
291852 787070 470
252399 904519 525
39169 847446 525
819320 487655 470
572322 561772 421
472781 800082 470
682112 225349 470
==32856== 
==32856== HEAP SUMMARY:
==32856==     in use at exit: 34,412 bytes in 379 blocks
==32856==   total heap usage: 473 allocs, 94 frees, 40,996 bytes allocated
==32856== 
==32856== LEAK SUMMARY:
==32856==    definitely lost: 0 bytes in 0 blocks
==32856==    indirectly lost: 0 bytes in 0 blocks
==32856==      possibly lost: 0 bytes in 0 blocks
==32856==    still reachable: 8,192 bytes in 2 blocks
==32856==         suppressed: 26,220 bytes in 377 blocks
==32856== Rerun with --leak-check=full to see details of leaked memory
==32856== 
==32856== For counts of detected and suppressed errors, rerun with: -v
==32856== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 130 from 31)
